title,content,augmented_title,augmented_content
Arron and summer were wonderful 10 out…,Arron and summer were wonderful 10 out of 10 for both.  Fantastic people,['Arron and summer were wonderful 10 out …'],['winter and summer were wonderful 10 out of 10 for both. fantastic tomatoes']
Dan really helped us in a difficult…,"Dan really helped us in a difficult situation, thank you so much!",['Dan really helped us in a hard …'],"['dan also helped us in a shitty situation, thank you so much!']"
Marcels knowledge and patience e was…,Marcels knowledge and patience e was great today. Helped us switch to Vodafone.,['Marcels knowledge and patience e was …'],['marcels knowledge and patience e was promised help. helped us switch to vodafone.']
Professional help and service,Professional help and service,['Master help and service'],['professional help request service']
Went into store to get sim card for my…,Went into store to get sim card for my son as he was starting school. Raj discussed the options and advised me on sim only offer I wasn't aware of which saved me money  and time.,['Went into store to get sim card for my …'],"[""went into store to get sim card for my son as he was starting school. tim discussed the options and advised me on sim only offer i won't aware beforehand which saved me place and time.""]"
Adam helped me save out money on my…,"Adam helped me save out money on my phone plan, Ed was very helpful aswell when dealing with my issues.",['Adam helped me save out money on my …'],"['adam helped me save out money on a phone plan, ed was very handy aswell when dealing with my phone.']"
I have been with Vodafone for over 20…,"I have been with Vodafone for over 20 years, a loyal customer, but it is clearly time to change. Terrible coverage - ""E"" is the best it achieves in Herefordshire despite claims of excellent 4G coverage. We can't make calls from inside the house, we need to stand in the garden to get a signal - just three miles outside a city in an area where every other mobile network works. Customer service is non-existent. Almost impossible to get to speak to a human and when you do the response is that they have an amazing network so shut up. Why, why, why have I been so loyal? Time for a change I think. FURTHER NOTE: Your response to my review kind of proves my point. You suggest I contact Vodafone either via Facebook or X - I use neither, nor any other social media. So that's that then. Polite suggestion - maybe offer alternative ways of contacting Vodafone for those of us who don't use social media.",['I have represent with Vodafone for over 20 …'],"['i having been with vodafone for over 20 years, a loyal customer, but it is clearly time to change. radio coverage - "" e "" is the best it achieves in herefordshire despite claims of excellent 4g coverage. we can\'t make calls from inside the house, we need to stand in the garden to get a signal - just twelve miles outside a city over an area where every other mobile network works. customer service is non - existent. almost easiest to get except speak towards a human and when you do the response is that they have an amazing network so shut up. why, why, why have i been so loyal? time for a change i think. further note : timely response to my review kind of proves my point. you suggested i contact anyone either via facebook or x - i use neither, nor any other social media. so that\'s that then. polite suggestion - maybe offer alternative ways of contacting vodafone for those of us who don\'t use social media.']"
Very good,Very good.  With  Kiara.SBL_,['Real good'],['very hard. with kiara. sbl _']
Michael was really attentive to my…,Michael was really attentive to my needs and sorted me out with a new device as mine was broken. Top quality service from the chap!,['Michael was really attentive to my …'],['michael was really drawn to customer needs and sorted me out like a new device as mine was broken. top quality service from the chap!']
Great help,"Great help, really efficient. Thank you",['Great service'],"['great detail, really efficient. thank you']"
Leigh was amazing and sorted my phone…,Leigh was amazing and sorted my phone out and I would come to see her again,['Leigh was stupefy and sorted my phone …'],['leigh was amazing and cried my leg out and i would come to see her again']
Mark was a fantastic help with my…,Mark was a fantastic help with my upgrade. He explained everything to me and made the upgrade an excellent experience. I would recommend Mark's expertise and services.,['Mark be a fantastic help with my …'],"[""mark was a skilled contractor with my upgrade. he offered everything to me and made the upgrade an excellent experience. i would recommend mark's expertise through services.""]"
Very impressed with Sam and Jade,Very impressed with Sam and Jade. They are very helpful. They both worked together to give me the best possible service,['Real impressed with Sam and Jade'],['very impressed with sam and jade. they are very helpful. they both waited patiently to give her the best possible service']
Fantastic customer service today,Fantastic customer service today. Rachael couldn’t have been more helpful. Thank you.,['Fantastic customer religious service today'],['fantastic customer service today. rachael couldn ’ t had been more helpful. thank heavens.']
Mollie was very helpful and concise in…,Mollie was very helpful and concise in giving the various options available. Was bright chatty and cheerful throughout outlr interaction.,['Mollie was very helpful and concise in …'],['mollie was very helpful and concise in explaining the various options available. generally bright eyes and cheerful throughout outlr interaction.']
Tobiad in Vodafone was helpful,Tobiad in Vodafone was helpful. Assisted me setting up my new phone. Highly recommend.,['Tobiad in Vodafone was helpful'],['tobiad in vodafone was helpful. assisted me into open my new phone. recommended recommend.']
Stuart listened and helped me to get an…,Stuart listened and helped me to get an additional line,['Stuart listened and facilitate me to get an …'],['stuart listened and helped lewis to get an additional line']
Vinnie was so helpful and attended to…,Vinnie was so helpful and attended to my needs promptly. He resolved my issue with ease and I was very satisfied. Refreshing to get good customer service from Vodafone.,['Vinnie was and then helpful and attended to …'],['vinnie was so helpful and attended to my needs initially. he resolved my issue with ease but we looked very satisfied. refreshing to get good customer service from vodafone.']
I came into store with a very old phone…,I came into store with a very old phone and upgraded to a new phone Jade was really helpful with helping me set up my phone.,['1 came into store with a very old phone …'],['luke came into town with a very old phone and upgraded onto a new phone jade was really helpful with helping me set up my phone.']
I came in to the Wolverhampton store to…,"I came in to the Wolverhampton store to sort a problem I had with my Apple Watch order, Jack was a friendly face as I recognised him from the merryhill store. He was more than happy to me store my problems and I walked away with a watch today I am so pleased.",['I come in to the Wolverhampton store to …'],"['i came around to the wolverhampton store to witness a problem i had with my apple watch today, jack was a friendly face as i recognised him from the merryhill pub. he was more than happy to me store solve problems and i went away with a watch today i am so pleased.']"
There have also been times when…,"There have also been times when intermittent internet issues were resolved by simply resetting the session on my node from your end. However, it often took a long time for this solution to be realized and implemented, causing unnecessary delays.",['In that respect have also been times when …'],"['there have also been times when intermittent internet issues were resolved by simply calling the clock on my node from your end. however, it still took a long time for this solution to be finalized and implemented, adding unnecessary delays.']"
Amazing service from Sam in this store,Amazing service from Sam in this store. He’s a very knowledgeable man.,['Amazing service from Surface to air missile in this store'],['amazing service from sam in this office. bob ’ s a very knowledgeable man.']
Kings Lynn Vodafone always helpful,This was the second time I spoke with Nicholas in branch. Helpful as ever. Got me exactly what I needed and done it super speedy too.,['Kings Lynn Vodafone always helpful'],['this was a second time i spoke with nicholas in branch. helpful as ever. got me exactly what i needed to done feeling super speedy too.']
Matt was really helpful getting my…,Matt was really helpful getting my pictures and contacts from my old tablet to my phone,['Matt was really helpful fix my …'],['matt was really helpful getting satellite pictures and contacts linking my old tablet to my phone']
One Room Only Broadband,"I feel out of place amongst all these 5 star reviews but, the broadband is rubbish.The fitters wouldn't put the outside box where I requested (too much trouble dealing with a tree), nor the inside box (well this is where it comes in luv)Upshot is, broadband works in living room only, what a crock.  I live in a standard 3 bedroom semi, so broadband throughout should not require my purchasing extra hardware.",['One Room Only Broadband'],"[""i feel out taking place amongst all these 5 product reviews but, the packaging is excellent. nut fitters wouldn't put the outside box where i requested ( too much trouble dealing with a tree ), particularly the interior box ( well this is where it comes in luv ) upshot is, broadband works in living room only, what a crock. i live in a standard 3 inch semi, cheap broadband throughout should not require passengers purchasing extra hardware.""]"
went into vodafone today,"went into vodafone today, lucy who assisted us was lovely and helped our every need. she worked out the cheapest and best deal possible for us and we left very happy and satisfied.",['went into vodafone today'],"['went into vodafone today, lucy who assisted us was lovely and helped our every need. she worked out our latest and biggest deal possible for us and we left very happy jobs satisfied.']"
Vodafone lie on a regular basis about…,"Vodafone lie on a regular basis about their network. For weeks I had little or no coverage at my home address. I was told on several occasions that the network was fine. I had to reset my phone loosing all my WiFi passwords and Bluetooth pairings when this was done it turned out that it was the local mast. I move to another provider as I had spent three weeks being told the the mast would be fixed in ... Days ...hours etc. then recieving a text saying it was fixed but I still had no service. I phoned Vodafone on my land line then it's one more time round Piccadilly Circus, reset etc only to find there are additional problems.",['Vodafone lie on a regular basis about …'],"[""vodafone lie on a regular basis monitoring their problems. for weeks i had little or no coverage at my home address. i was told during several occasions that the network was fine. i had to reset my phone loosing all my old passwords and bluetooth pairings when this was done it turned out that it was the local mast. i spoke to another provider as i had spent three weeks being told the the mast would be back in... time... hours etc. then recieving a text saying it was fixed stating i still had no service. i phoned vodafone on a land line then it's one third time round piccadilly circus, reset etc only to find there are additional problems.""]"
Horrible Service,"Absolutely Horrendous, horrible service almost no service in hill fields area where i live, and when i call to report I'm only told to put my phone on and off airplane mode to reset. Really frustrated with this contract otherwise would have thrown the sim away.",['Horrible Serving'],"[""absolutely horrendous, horrible has almost no service in hill fields area where i live, but when phone call to report i'm only told to put me phone off and order airplane mode to reset. really frustrated with this contract otherwise would have thrown the sim away.""]"
Amazing service from Nazmin,"A lovely girl called, Nazmin was very helpful, with amazing customer service, always had answers to all of my questions. Thank you so much for the help :)",['Amazing robert william service from Nazmin'],"['a lovely girl called, nazmin was very helpful, with extraordinary customer experience, always had access to all of my questions. thank you so long for the help : )']"
Upgrade from SIM only to monthly contract.,We went to the store with the intention of upgrading from a SIM only to a new monthly contract. Sam was so helpful and ran through all the options and explained the pricing clearly and got us signed up to A great deal. A massive shout out to Sam for his help and assistance.,['Upgrade from SIM exclusively to monthly contract.'],['we went to the store with the intention of randomly adding a sim only to a new monthly website. sam was so helpful and ran through all the options and checked the pricing details and got us signed up to a great deal. big massive shout out to sam for his help and assistance.']
I want to highlight Bethany who is very knowledgeable,"I want to highlight Bethany who was so helpful today, she sorted issue with my iPhone and changed SIM card to improve coverage. Bethany was very knowledgeable and pleasant and took the time to ensure all was in order before I left.",['I want to highlight Bethany who is really knowledgeable'],"['i want to highlight bethany who was so helpful nowadays, she sorted issue with my recently slightly changed sim card to improve coverage. bethany was very knowledgeable while pleasant and took the time to ensure all was on order before i left.']"
It was the customer service I received…,"It was the customer service I received from Ashley on my visit to the store very helpfully ,and talked me through everything to do with my new phone contracts I'd took out today . Would definitely recommend  this store to everyone who is thinking of visiting .",['It was the customer service I receive …'],"[""it was the customer service i received from ashley on my visit in the store very helpfully, and sent me through everything on do with my new phone contracts i'd took out today. i definitely sell this store to everyone who is thinking of jordan.""]"
I love the service that they have given…,I love the service that they have given me todayThey were very patient with meAnd they helped me with my phone aswellYou did a good job Christian and huda,['I love the service that they have given …'],['i love the steady call they have given me todaythey were very patient with meand they helped me with my phone aswellyou did yer good job christian and stuart']
I hate it,"I hate it. Charged for nothing,paid twice. I wish I knew how horrible it is before buying sim from there. Awful, useless website as well",['I hate information technology'],"['i hate it. charged for rent, paid twice. no wish i knew how horrible it is before buying sim from there. awful, expensive chips as well']"
We spent over 2 hours in your in…,"We spent over 2 hours in your in Harrogate store with Issac and manger Dan, both extremely helpful sorted everything that we needed and more.We felt that the most important thing missing which would come under health  and safety, we sat in your children’s size hard wooden chairs for the whole length of time we were there and found them extremely uncomfortable as Issac and Dan spent their sitting on the same chairs, we feel that more suitable seating for customers would be recommended and also office chairs for your valued staff, who spending longer sitting on the children’s chairs. I hope that the next I have to visit your Harrogate store changes will have been made. Thank you.",['We spent over 2 hours in your in …'],"['we spent over 2 hours in your in harrogate store with issac and manger dan, both extremely helpful sorted everything that you needed and liked. we felt that the most important thing missing which would come under health and safety, we sat in your children ’ s size hard wooden chairs for the whole length of time we were there and found them extremely uncomfortable as issac and dan spent their sitting on our same chairs, we feel that extra suitable tables for customers would be recommended and also office chairs for your valued staff, all spending longer sitting on those children our s chairs. i agree that the next i have to visit greater harrogate store changes will have been made. thank you.']"
Mani was great and very helpful and…,Mani was great and very helpful and efficient.,['Mani was great and real helpful and …'],['mani was great and always helpful and efficient.']
I went to my current provider as my…,"I went to my current provider as my contract expired, the prices they were offering me were just way to high.I popped in to Vodafone Slough and spoke with Ali, he came up with a great deal at the price I was looking for plus a new phone! Very pleased. I asked him about transferring everything over to my new phone as I'm not very techy and he was happy to help by doing this for me. Ali was patient, kind and polite which has made my first experience with my new supplier a great one, I couldn't have asked for more.It was a pleasure dealing with Ali, a real asset to your team!",['I went to my current provider as my …'],"[""i went to my current provider as my contract expired, the prices who were offering me were just way to high. i popped in to vodafone slough and spoke with me, he came up with a great amount at the price i was looking for including a car phone! very pleased. i asked him about transferring everything over to my new system as i'm not very techy and he was happy to help by doing this for me. everyone keeps patient, kind and polite which has made my first experience with my new supplier a great one, i couldn't have asked for more. it was a pleasure dealing with ali, a real contribution to your portfolio!""]"
Glenn from vida phone welwyn garden…,Glenn from vida phone welwyn garden city was amazing and extremely helpful. He took the time to work through possible issues with my phone and managed to resolve the issue. Extremely happy and very impressed,['John glenn from vida phone welwyn garden …'],['glenn from vida or welwyn garden city seemed amazing being extremely helpful. he took the time to work through possible issues on my phone and managed to resolve the issue. extremely happy and very impressed']
Very helpful staff member polite…,Very helpful staff member polite efficient and I had a pleasant experience.,['Very helpful stave member polite …'],['but helpful staff member polite efficient and i had a pleasant encounter.']
Cheaper broadband but inferior service,"I recently moved from Sky broadband to Vodafone but beware the WiFi does not stretch through the house (I live in a small house). Most areas drop in connection but apparently the hub is the same quality as Sky - I disagree. I never had a problem with the Sky hub, it even reached out into the garden. If you choose to sign up to Vodafone be prepared to buy boosters as Vodafone are not willing to help you out with this unless you pay them more! Of course. Update: Connection has now dropped in all areas. Advice for all potential customers - please be aware of Vodafone’s inferior hub/connection. And Vodafone, yes I know I can get boosters but you want more money for them! I don’t expect to pay for a service I should already be getting.",['Cheaper broadband but inferior service'],"['i recently moved from sky gate to vodafone but beware the wifi does not stretch through the house ( i live in a small house ). most commonly drop in connection but apparently the hub is the same quality as sky - i disagree. i never had a problem with the sky hub, it even reached out into the garden. if you choose to sign up to vodafone be prepared to buy boosters as vodafone are not willing to help you out with this unless you pay them more! of course. update : boost has now dropped in all areas. advice for all potential merchants - please be aware of vodafone ’ s inferior hub / connection. and now, yes i know i can get boosters but you charge more money on them! i don ’ t have to call for some service i should already be getting.']"
Demi-Leigh Orpington,Hiya this is on my behalf of my dad and myself but we have lots of trouble at Bromley and how rude they was is disgusting but we went to Orpington coda phone and a lady in there called Demi-Leigh she is the most polite and kindest member and helped me and my dad so much thank ya so so much,['Demi - Leigh Orpington'],['hiya this is purely my behalf of my niece and myself but we have lots of trouble at bromley and how rude they was is unknown but people went to deliver coda phone and a lady in there meets demi - leigh she is the most polite and respected member and helped me and my dad so much thank ya so so much']
Helpful during system issue,Helpful during system issue. Able to navigate and successfully place order through,['Helpful during system issue'],['activate during system issue. able to navigate and effectively place order through']
Great advice,Great advice. Understood issue and sorted it speedily and explained all available options and what was happening at all points,['Great advice'],['great advice. understood issue and researched it speedily and explained its available options and what were happening at all points']
Kyro was brilliant,"Kyro was brilliant,  really courteous and knowledgeable, Thanks again",['Kyro was brilliant'],"['kyro was brilliant, usually courteous and knowledgeable, grinning again']"
Dan made everything so easy and let us…,Dan made everything so easy and let us walk away same day with a phone and gave us great advice. 100% would recommend,['Dan made everything so easy and allow us …'],['dan made everything so comfortable and had us walk away same day with a phone and told us great advice. 100 % would recommend']
Efficient friendly and knowledgeable…,Efficient friendly and knowledgeable service from Alfie. All products suggested were available. Left the store with a new phone and neck instructions. Thanks to Alfie for his patience,['Efficient friendly and knowledgeable …'],['efficient friendly and knowledgeable behavior from alfie. all products suggested were unlimited. left the store with a new phone and cryptic instructions. thanks on alfie for his patience']
Excellent customer service 👏,Excellent customer service 👏,['Splendid customer service 👏'],['excellent customer service management']
Brillant service would highly recommend…,Brillant service would highly recommend Subz was absoultly amazing with helping me sort out my contract. Easiest phone contract sorted ever thank you very much,['Brillant divine service would highly recommend …'],['brillant service agents highly recommend steve was absoultly amazing with helping me sort up my contract. easiest buy contract sorted ever thank you very much']
GREAT,This company is very helpful and great network,['smashing'],['his company is very helpful and great network']
Swift service and excellent staff!,"I went in to explore options regarding a phone contract today, as I was primarily looking to upgrade. I had a chat with Anthony, who was very professional and they provided me with all of the necessary details for trade in and full contract, breaking down the information concisely.",['Swift service and first class staff!'],"['i went in to explore options in a futures contract today, as matthew was primarily looking to email. i had a chat with anthony, they was very professional and promptly provided me with all of the necessary details for trade in and full contract, breaking down the information concisely.']"
Valentina was polite and professional…,Valentina was polite and professional and helped us with everything we needed! Thank you!,['Valentina was polite and professional …'],['valentina stayed polite and professional and helped us send everything we needed! thank you!']
Abdullah in Ealing Broadway was amazing,"Date of experience: September 01, 2024",['Abdullah in Ealing Broadway follow amazing'],"['date customer experience : september 01, 2024']"
Andy was very supportive,"Came to store to get a new phone. Fantastic service from Andy, nothing was a bother and also very helpful in the set up and claim for the chromebook",['Andy be very supportive'],"['came to store to get a new ipad. fantastic service from andy, nothing was a bother mike was very helpful about the set up and claim for the chromebook']"
Stefan helped me with upgrading my…,Stefan helped me with upgrading my phone and it was very patient,['Stefan helped me with upgrade my …'],['stefan helped me with upgrading my phone and this was very attractive']
Colin is amazing,Came in and Colin helped me start a contract and was so helpful and amazing! I recommend everyone in search of good phones and customer service to come here. The team is amazing 😍,['Colin is amazing'],['came in and colin helped me start a contract and was pretty helpful and amazing! please recommend everyone in search of nokia phones and customer service to come here. the script is amazing [UNK]']
best staff ever,colin was so kind and helpful. 10/10 customer service. very knowledgeable about everything made my life a million times easier. thankyou colin,['best staff always'],['he was so kind too helpful. 10 / 10 customer reaction. very knowledgeable about everything made my life a million times easier. thankyou colin']
Very good service...,"Date of experience: September 01, 2024",['Really good service. ..'],"['date of experience : september 2, 2024']"
Literally ten times slower than BT for the same service,"Upload speeds on Vodafone in practical use is literally ten times slower for me than on BT.Vodafone appear to be usin throttling or traffic shaping techniques to do this and applying this to certain online services. Notably Google Services which includes Google Drive and YouTube. The sneaky thing here, is that speed tests are unaffected, which means my upload speed is always at 100meg+. As soon as I upload a file to Google Drive or YouTube, the upload speed is consistently restricted to 10meg.How do I know? 1. The problem started immediately after switching to Vodafone.2. I tested like for like, using two separate ISP connections (Vodafone and EE), and even additionally by switching to a 4G connection on the same device.3. I confirmed that the upload speed is uncapped when using a VPN service.I can find other reports of the same online, including throttling of VPNs and streaming services for video and games.Additionally, the supplied router (PowerHub) is almost unusable since it locks down all the settings and doesn't allow simple features to be configured such as the splitting of SSIDs and other features that basic routers have.I would love to switch to EE since I'm still in my cooling off period, but it will leave me without internet for two weeks and this isn't feasible as someone that works from home.My advice - Avoid Vodafone.",['Literally ten times slower than BT for the same service'],"[""upload speeds on vodafone therefore practical use is literally two times slower for me than on bt. vodafone appear basically be usin throttling or traffic shaping techniques to do this and applying this to certain online services. notably google services which includes google applications and youtube. the sneaky thing here, is that speed switches are unaffected, which means my upload speed is always at 100meg +. as soon as i upload a file to google drive or youtube, the upload speed is consistently restricted to 10meg. how do i know? 1. the problem started immediately after switching to vodafone. 2. i tested like for like, using two separate isp connections ( vodafone and ee ), and even additionally by switching to a 4g connection on the same device. 3. i confirmed that the upload speed is uncapped when using analog vpn service. i can find other reports of the same online, including throttling of vpns and streaming services for video and games. additionally, the supplied router ( powerhub ) is almost unusable since it locks down all the users and doesn't allow simple things to be configured such as the splitting of ssids and other features that basic routers have. i would love to switch to ee since i're still in my cooling off period, but it will occupy me without internet for two weeks and this isn't feasible as someone that works from home. my advice - avoid vodafone.""]"
Jake was a pleasure to deal with,"Jake was a pleasure to deal with , I now have a new sim plan and he’s saved me money :) great experience",['Jake was a pleasure to deal with'],"['jake was a pleasure to start with, i would have a new sim plan and he ’ ve saved me money : ) great experience']"
Waqar was brilliant very helpful,Waqar was brilliant very helpful! And fast service. Best experience in Vodafone I've had,['Waqar make up brilliant very helpful'],"[""waqar is brilliant very helpful! efficient fast service. extensive experience in vodafone i've had""]"
Great service and looked at all options…,Great service and looked at all options to reduce my payment,['Great military service and looked at all options …'],['my sigh and looked at all options to reduce my payment']
A positive experience,Gryff was very helpful as well as being personable and a pleasure to deal with. We wouldn’t hesitate to recommend Vodafone for the service we received today.,['A positive experience'],['gryff was very helpful as well as being personable and a pleasure getting deal with. anybody wouldn ’ care hesitate to recommend vodafone for the service everyone received today.']
Jake in the store was very helpful,"Jake in the store was very helpful , I have purchased a new phone and the overall experience was excellent . Thanks one again.",['Jake in the store was very helpful'],"['jake inside the store was very surprised, i have purchased a new phone since the overall experience was excellent. thanks one again.']"
Valentina’s very professional and…,Valentina’s very professional and fulfilled my needs,['Valentina ’ s very professional and …'],['valentina ″ s very professional and fulfilled my needs']
"Lewis was very helpful,knowledgeable &…","Lewis was very helpful,knowledgeable & attentive","['Lewis was very helpful, knowledgeable & …']","['lewis was very helpful, interesting & helpful']"
Morgan was great at explaining the…,Morgan was great at explaining the options to me . Brilliant.,['Morgan was great at explaining the …'],['morgan was good at explaining the truth to me. brilliant.']
Very quick efficient service from Kevin…,Very quick efficient service from Kevin great customer service managed to deal with everything in shop,['Rattling quick efficient service from Kevin …'],['very quick efficient service from kevin swift customer service managed to deal with everything like shop']
Billy looked after me really well in…,"Billy looked after me really well in store and got me the exact deal I was looking for, very happy with the experience and very time efficient for a change!",['Billy looked after me really comfortably in …'],"['billy looked for me really well in store they got me the exact deal i was looking for, very happy with the experience making very time efficient of a change!']"
Fantastic service,James was very helpful and got me the best deal possible. Very happy with the service!,['Fantastic inspection and repair'],['james was very helpful and got me the best deal possible. very impressed at the service!']
Helpfull,"I purchased a new phone through Curry's only because it was cheaper than the advisors gave me on line. Curry's took the sale which I was happy. with and was not able go assist with the setting up of the phone. Someone who has additional needs ie dyslexia would struggle with this task. I was advised to go into Vodafone, and I saw Aysha. There was no hesitation she helped me so much, a 100% by offering excellent support and advice. Her empathy was excellent and patient. Well done Aysha. 👏👏",['Helpfull'],"[""i imported a new phone through curry's only because it was cheaper than the advisors gave when on line. curry's took the sale which i was negotiating. with and hopefully not able go assist with the setting up of the phone. someone who has additional needs ie dyslexia would struggle with this task. i is advised to invest into vodafone, and i saw aysha. there was no hesitation she helped me watch closely, a 100 % subsidiary offering excellent support and advice. her tone was excellent and patient. well done aysha. [UNK]""]"
SIMRAN Was so very helpful,SIMRAN Was so very helpful. Very courteous and she is a great asset to Vidaphone. I wish her all the very best in her career. Linda,['SIMRAN Was thusly very helpful'],['simran was so very helpful. very courteous and she is a great asset to vidaphone. i owe her attention the very best in its career. ″']
Morgan really helped me pick my plan…,"Morgan really helped me pick my plan and about coming in, in the future to get sim cards for my children.",['Morgan really helped me pick my programme …'],"['morgan really helped me pick middle grades and about coming in, in the future to get sim girls for my children.']"
Daniel is very personable,"Daniel is very personable , maybe should have a career in TV rather than phone insurance haha , brilliant lad all round",['Daniel is very personable'],"['who is very personable, maybe should have their career in tv rather than phone insurance haha, brilliant reporter all round']"
COW CRAP From the sub continent,"COW CRAP From the sub continent. so apparently my data has run out (same usage as my previous supplier) and a very charming girl offers to upgrade my account on Friday morning. 'this will take 24hrs' - OK - So, 48 hours later and still no data. I talk to Ardish who tells me 48 'WORKING' HOURS - AND THE BACK OFFICE DOESN'T WORK WEEKENDS. However he can SELL me more data and get it working straight away! TALK ABOUT COW CRAP Double standards!  You can't upgrade my account for 48 working hours, but you can instantly sell me more data... We will NOT be together much longer",['COW bull From the sub continent'],"[""useful stuff from the sub continent. so apparently my data has run out ( same usage as my previous supplier ) so a very charming girl offers to upgrade my accounts on friday morning.'job will take 24hrs'- ok - 23, 48 hours later and still no data. now talk to ardish who shows me 48'working'hours - and the back door doesn't work weekends. however he can sell me less data and get it working straight away! talk about cow crap double standards! you can't upgrade my account for 48 working hours, but you can instantly sell me more data... we will not be together much longer""]"
Excellent assistance and very helpful…,Excellent assistance and very helpful advice from Josh and Ryan much appreciated,['Excellent assistance and very helpful …'],['excellent assistance and very helpful contribution from josh and mandy much appreciated']
Great customer service!,"The customer service I received from the Vodafone store advisor was great, and beyond my expectations, as I have been pointed to the correct direction. Most important, a very professional manner. Many thanks to the advisor (not providing any names for discretion reasons).",['Great customer table service!'],"['customer information service i expected from the vodafone store advisor was great, and beyond my expectations, as i have been pointed to the correct direction. absolutely important, a very professional approach. many thanks to the advisor ( or providing any names for discretion reasons ).']"
Stay away if you use smart bulbs/switches,"OMG! I thought BT customer services was bad. Vodafone is worse. I've recently switched from BT to Vodafone Pro II full fibre 910. BIG MISTAKE!!! If you use smart plugs and bulbs stay away from Vodafone. unable to connect any. Tried doing the online chat only to be cut off after TWO HOURS when Vodafone couldn't resolve the issue. I know what the issue i an how to resolve it, I just need to change the router settings, but vodafone doesn't allow this. Tried phoning but couldn't here the person on the other end of the phone ue to all the background noise!!! ended up spending more money on a 3rd party wifi extender.",['Stay away if you use wise bulbs / switches'],"[""omg! i realised bt customer services was bad. vodafone is worse. i've recently switched from bt to vodafone mobile ii full fibre 910. big mistake!!! if you use smart camera and bulbs stay away from vodafone. unable to connect any. tried doing the facebook chat only to be cut off after two hours when vodafone couldn't resolve the issue. i know what the issue i an unfit to resolve it, i just need to change the router settings, the vodafone doesn't allow this. tried phoning but couldn't here contact person on the other end of his email ue to all the background noise!!! ended up spending more money on their 3rd party wifi extender.""]"
The store had excellent customer and…,The store had excellent customer and the staff was really helpful I specifically appreciate Diego for his prompt and kind service on my each visit .,['The store had excellent customer and …'],['the cafe had excellent customer and the job was really helpful i specifically appreciate diego for his prompt and kind service concerning my each visit.']
Amazing service from Sailen!!!!,"Date of experience: September 01, 2024",['Awe inspiring service from Sailen! !!!'],"['date by experience : september 01, 2024']"
Great customer service,Habib the Sales advisor was brilliant! He was very kind and answered all our questions.,['Great customer service'],['habib the economics advisor totally brilliant! he was very kind and answered all our questions.']
Lee was great help with getting new…,Lee was great help with getting new phones sorted,['Lee was great help with get new …'],['lee was great help with getting big phones sorted']
very good service here,very good service here,['very good religious service here'],['very good beer here']
Great Service from Ryan,"Great, return visit, came into get a Simswap sorted, so helpful & just great chat throughout. Thanks Ryan",['Great Service from Ryan'],"['hi, return visit, came into get our simswap sorted, so helpful & just good chat throughout. thanks ryan']"
Ahmad was very helpful and got me good…,Ahmad was very helpful and got me good deal for phone. Top service,['Ahmad was very helpful and got me salutary …'],['ahmad was very helpful and got me good deal for phone. royal secret']
Nesha was excellent please don't leave…,Nesha was excellent please don't leave please don't let her go,"[""Nesha was excellent please don ' t allow …""]","[""none was excellent please don'e leave please don't let her go""]"
Daniel was wonderful,"Daniel was wonderful , really patient and polite and kept me engaged through the whole transaction",['Daniel was tremendous'],"['daniel was wonderful, really patient and supportive and kept me engaged at the whole transaction']"
Dan was knowledgeable polite and…,Dan was knowledgeable polite and extremely helpful.He was able to sort my problem with the phone to my complete satisfaction.Excellent service.,['Dan was versed polite and …'],['dan was knowledgeable polite and extremely helpful. brad proved able to sort my problem with the phone to my complete satisfaction. excellent advice.']
BEATRICE was extremely knowledgeable…,BEATRICE was extremely knowledgeable and helpful.  I can't thank her enough.   She really deserves a promotion.,['BEATRICE be extremely knowledgeable …'],"[""beatrice was extremely knowledgeable and helpful. i can'tc thank her enough. she certainly deserves her promotion.""]"
Great experience,"Holly was so lovely. Very professional and helpful, great experience. Thank you!",['Neat experience'],"['holly was so friendly. very professional and helpful, great experience. thank me!']"
